,NO2(t-10),NO2(t-9),NO2(t-8),NO2(t-7),NO2(t-6),NO2(t-5),NO2(t-4),NO2(t-3),NO2(t-2),NO2(t-1),NO2(t)
119,7.864497e-06,7.222762e-06,8.303169e-06,1.0179585e-05,5.911917e-06,1.5137167e-05,1.5353991e-05,1.4794619e-05,1.0283218e-05,1.0215534e-05,8.040393e-06
120,7.222762e-06,8.303169e-06,1.0179585e-05,5.911917e-06,1.5137167e-05,1.5353991e-05,1.4794619e-05,1.0283218e-05,1.0215534e-05,8.040393e-06,9.421331e-06
121,8.303169e-06,1.0179585e-05,5.911917e-06,1.5137167e-05,1.5353991e-05,1.4794619e-05,1.0283218e-05,1.0215534e-05,8.040393e-06,9.421331e-06,9.405999e-06
122,1.0179585e-05,5.911917e-06,1.5137167e-05,1.5353991e-05,1.4794619e-05,1.0283218e-05,1.0215534e-05,8.040393e-06,9.421331e-06,9.405999e-06,9.3906665e-06
123,5.911917e-06,1.5137167e-05,1.5353991e-05,1.4794619e-05,1.0283218e-05,1.0215534e-05,8.040393e-06,9.421331e-06,9.405999e-06,9.3906665e-06,1.6486114e-05
124,1.5137167e-05,1.5353991e-05,1.4794619e-05,1.0283218e-05,1.0215534e-05,8.040393e-06,9.421331e-06,9.405999e-06,9.3906665e-06,1.6486114e-05,1.4966123e-05
125,1.5353991e-05,1.4794619e-05,1.0283218e-05,1.0215534e-05,8.040393e-06,9.421331e-06,9.405999e-06,9.3906665e-06,1.6486114e-05,1.4966123e-05,1.3429633e-05
126,1.4794619e-05,1.0283218e-05,1.0215534e-05,8.040393e-06,9.421331e-06,9.405999e-06,9.3906665e-06,1.6486114e-05,1.4966123e-05,1.3429633e-05,1.0672613e-05
127,1.0283218e-05,1.0215534e-05,8.040393e-06,9.421331e-06,9.405999e-06,9.3906665e-06,1.6486114e-05,1.4966123e-05,1.3429633e-05,1.0672613e-05,1.2780257e-05
128,1.0215534e-05,8.040393e-06,9.421331e-06,9.405999e-06,9.3906665e-06,1.6486114e-05,1.4966123e-05,1.3429633e-05,1.0672613e-05,1.2780257e-05,2.0498332e-05
129,8.040393e-06,9.421331e-06,9.405999e-06,9.3906665e-06,1.6486114e-05,1.4966123e-05,1.3429633e-05,1.0672613e-05,1.2780257e-05,2.0498332e-05,1.1068514e-05
130,9.421331e-06,9.405999e-06,9.3906665e-06,1.6486114e-05,1.4966123e-05,1.3429633e-05,1.0672613e-05,1.2780257e-05,2.0498332e-05,1.1068514e-05,1.4390357e-05
131,9.405999e-06,9.3906665e-06,1.6486114e-05,1.4966123e-05,1.3429633e-05,1.0672613e-05,1.2780257e-05,2.0498332e-05,1.1068514e-05,1.4390357e-05,1.7619122e-05
132,9.3906665e-06,1.6486114e-05,1.4966123e-05,1.3429633e-05,1.0672613e-05,1.2780257e-05,2.0498332e-05,1.1068514e-05,1.4390357e-05,1.7619122e-05,1.472415e-05
133,1.6486114e-05,1.4966123e-05,1.3429633e-05,1.0672613e-05,1.2780257e-05,2.0498332e-05,1.1068514e-05,1.4390357e-05,1.7619122e-05,1.472415e-05,1.2556776e-05
134,1.4966123e-05,1.3429633e-05,1.0672613e-05,1.2780257e-05,2.0498332e-05,1.1068514e-05,1.4390357e-05,1.7619122e-05,1.472415e-05,1.2556776e-05,1.3510698e-05
135,1.3429633e-05,1.0672613e-05,1.2780257e-05,2.0498332e-05,1.1068514e-05,1.4390357e-05,1.7619122e-05,1.472415e-05,1.2556776e-05,1.3510698e-05,1.3420758e-05
136,1.0672613e-05,1.2780257e-05,2.0498332e-05,1.1068514e-05,1.4390357e-05,1.7619122e-05,1.472415e-05,1.2556776e-05,1.3510698e-05,1.3420758e-05,1.4124659e-05
137,1.2780257e-05,2.0498332e-05,1.1068514e-05,1.4390357e-05,1.7619122e-05,1.472415e-05,1.2556776e-05,1.3510698e-05,1.3420758e-05,1.4124659e-05,1.8024504e-05
138,2.0498332e-05,1.1068514e-05,1.4390357e-05,1.7619122e-05,1.472415e-05,1.2556776e-05,1.3510698e-05,1.3420758e-05,1.4124659e-05,1.8024504e-05,1.2987459e-05
139,1.1068514e-05,1.4390357e-05,1.7619122e-05,1.472415e-05,1.2556776e-05,1.3510698e-05,1.3420758e-05,1.4124659e-05,1.8024504e-05,1.2987459e-05,1.1193973e-05
140,1.4390357e-05,1.7619122e-05,1.472415e-05,1.2556776e-05,1.3510698e-05,1.3420758e-05,1.4124659e-05,1.8024504e-05,1.2987459e-05,1.1193973e-05,1.1317229e-05
141,1.7619122e-05,1.472415e-05,1.2556776e-05,1.3510698e-05,1.3420758e-05,1.4124659e-05,1.8024504e-05,1.2987459e-05,1.1193973e-05,1.1317229e-05,1.10607825e-05
142,1.472415e-05,1.2556776e-05,1.3510698e-05,1.3420758e-05,1.4124659e-05,1.8024504e-05,1.2987459e-05,1.1193973e-05,1.1317229e-05,1.10607825e-05,1.0804334e-05
143,1.2556776e-05,1.3510698e-05,1.3420758e-05,1.4124659e-05,1.8024504e-05,1.2987459e-05,1.1193973e-05,1.1317229e-05,1.10607825e-05,1.0804334e-05,1.0547884e-05
144,1.3510698e-05,1.3420758e-05,1.4124659e-05,1.8024504e-05,1.2987459e-05,1.1193973e-05,1.1317229e-05,1.10607825e-05,1.0804334e-05,1.0547884e-05,9.837544e-06
145,1.3420758e-05,1.4124659e-05,1.8024504e-05,1.2987459e-05,1.1193973e-05,1.1317229e-05,1.10607825e-05,1.0804334e-05,1.0547884e-05,9.837544e-06,1.0738798e-05
146,1.4124659e-05,1.8024504e-05,1.2987459e-05,1.1193973e-05,1.1317229e-05,1.10607825e-05,1.0804334e-05,1.0547884e-05,9.837544e-06,1.0738798e-05,1.164005e-05
147,1.8024504e-05,1.2987459e-05,1.1193973e-05,1.1317229e-05,1.10607825e-05,1.0804334e-05,1.0547884e-05,9.837544e-06,1.0738798e-05,1.164005e-05,1.0413312e-05
148,1.2987459e-05,1.1193973e-05,1.1317229e-05,1.10607825e-05,1.0804334e-05,1.0547884e-05,9.837544e-06,1.0738798e-05,1.164005e-05,1.0413312e-05,1.00975985e-05
149,1.1193973e-05,1.1317229e-05,1.10607825e-05,1.0804334e-05,1.0547884e-05,9.837544e-06,1.0738798e-05,1.164005e-05,1.0413312e-05,1.00975985e-05,9.781886e-06
